ID,electricity_consumption,temperature_2m_max,temperature_2m_min,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_direction_10m_dominant
cluster_1_2014-01-01,358.032,10.8,4.2,53.00333333333333,29787.533333333336,40.6,186.0
cluster_2_2014-01-01,548.247,12.2,4.3,8195.656666666668,30650.35,36.0,170.59111818164516
cluster_3_2014-01-01,758.303,12.9,-0.8,16305.26,31547.686666666665,20.9,159.4677516059171
cluster_4_2014-01-01,1072.077,10.8,4.7,9224.803333333331,30769.22,34.7,184.3397530942578
cluster_1_2014-01-02,386.908,10.7,7.0,22372.0,29850.226666666666,34.3,210.3334650015942
cluster_2_2014-01-02,567.775,12.1,6.8,21813.283333333336,30708.623333333333,34.0,186.39329966703897
cluster_3_2014-01-02,796.859,15.0,3.9,19886.50333333333,31601.23,25.4,177.2504392640879
cluster_4_2014-01-02,1153.619,12.5,6.6,21208.54,30826.72333333333,34.0,198.72295225010643
cluster_1_2014-01-03,395.319,11.7,7.1,21906.06,29918.046666666665,35.3,210.0003047798862
cluster_2_2014-01-03,577.312,12.1,7.0,13631.893333333332,30771.67,34.9,190.0063527295717
cluster_3_2014-01-03,806.132,13.9,3.2,18698.15333333333,31659.17333333333,20.1,171.8806573557535
cluster_4_2014-01-03,1176.124,12.5,5.8,16173.35,30888.943333333333,33.4,192.3738164184389
cluster_1_2014-01-04,378.062,10.6,5.9,5938.093333333333,29990.93333333333,31.5,190.6908462568088
cluster_2_2014-01-04,547.73,16.1,5.4,14308.13,30839.430000000004,37.0,184.346656330524
cluster_3_2014-01-04,771.702,14.1,4.5,6627.443333333334,31721.466666666664,28.9,180.62649811802405
cluster_4_2014-01-04,1112.809,11.3,4.9,4012.6333333333337,30955.823333333334,22.2,179.7111455663518
cluster_1_2014-01-05,372.324,11.4,2.4,13408.483333333332,30068.92333333333,29.9,200.3073002134553
cluster_2_2014-01-05,553.213,10.3,2.9,17337.216666666667,30911.946666666667,31.0,229.0478377580514
cluster_3_2014-01-05,760.92,11.0,2.6,16520.876666666667,31788.13666666667,29.4,250.4226814485225
cluster_4_2014-01-05,1107.926,9.0,2.1,23532.14,31027.396666666667,27.3,218.3418020203997
cluster_1_2014-01-06,414.015,13.8,8.3,6057.546666666666,30152.88666666667,37.3,205.3349908640192
